borough,neighborhood,building.class.category,tax.class.at.present
3,                         ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,  
3,                         ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,  
3,                         ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,  
3,                         ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,  
3,                         ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,  
3,                         ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,  
3,                         ,18  TAX CLASS 3 - UTILITY PROPERTIES        ,3
3,                         ,18  TAX CLASS 3 - UTILITY PROPERTIES        ,3
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,                                            ,4
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,03  THREE FAMILY HOMES                      ,1
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,04  TAX CLASS 1 CONDOS                      ,1A
3,BATH BEACH               ,06  TAX CLASS 1 - OTHER                     ,1
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2A
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2A
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2A
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2A
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2A
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2A
3,BATH BEACH               ,07  RENTALS - WALKUP APARTMENTS             ,2A
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,09  COOPS - WALKUP APARTMENTS               ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,10  COOPS - ELEVATOR APARTMENTS             ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,12  CONDOS - WALKUP APARTMENTS              ,2
3,BATH BEACH               ,13  CONDOS - ELEVATOR APARTMENTS            ,2
3,BATH BEACH               ,13  CONDOS - ELEVATOR APARTMENTS            ,2
3,BATH BEACH               ,13  CONDOS - ELEVATOR APARTMENTS            ,2
3,BATH BEACH               ,13  CONDOS - ELEVATOR APARTMENTS            ,2
3,BATH BEACH               ,14  RENTALS - 4-10 UNIT                     ,2A
3,BATH BEACH               ,14  RENTALS - 4-10 UNIT                     ,2A
3,BATH BEACH               ,14  RENTALS - 4-10 UNIT                     ,2A
3,BATH BEACH               ,14  RENTALS - 4-10 UNIT                     ,2A
3,BATH BEACH               ,14  RENTALS - 4-10 UNIT                     ,2A
3,BATH BEACH               ,14  RENTALS - 4-10 UNIT                     ,2A
3,BATH BEACH               ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C
3,BATH BEACH               ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C
3,BATH BEACH               ,15  CONDOS - 2-10 UNIT RESIDENTIAL          ,2C
3,BATH BEACH               ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C
3,BATH BEACH               ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C
3,BATH BEACH               ,16  CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT ,2C
3,BATH BEACH               ,17  CONDOPS                                 ,2
3,BATH BEACH               ,17  CONDOPS                                 ,2
3,BATH BEACH               ,22  STORE BUILDINGS                         ,4
3,BATH BEACH               ,22  STORE BUILDINGS                         ,4
3,BATH BEACH               ,22  STORE BUILDINGS                         ,4
3,BATH BEACH               ,22  STORE BUILDINGS                         ,4
3,BATH BEACH               ,22  STORE BUILDINGS                         ,4
3,BATH BEACH               ,22  STORE BUILDINGS                         ,4
3,BATH BEACH               ,22  STORE BUILDINGS                         ,4
3,BATH BEACH               ,28  COMMERCIAL CONDOS                       ,4
3,BATH BEACH               ,28  COMMERCIAL CONDOS                       ,4
3,BATH BEACH               ,28  COMMERCIAL CONDOS                       ,4
3,BATH BEACH               ,28  COMMERCIAL CONDOS                       ,4
3,BATH BEACH               ,29  COMMERCIAL GARAGES                      ,4
3,BATH BEACH               ,35  INDOOR PUBLIC AND CULTURAL FACILITIES   ,4
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
3,BAY RIDGE                ,01  ONE FAMILY HOMES                        ,1
